County,Brand,Data,Total
AB, ALFA_ROMEO,3,297
AR, ALFA_ROMEO,14,297
AG, ALFA_ROMEO,4,297
BC, ALFA_ROMEO,8,297
BH, ALFA_ROMEO,10,297
BN, ALFA_ROMEO,0,297
BT, ALFA_ROMEO,4,297
BR, ALFA_ROMEO,4,297
BV, ALFA_ROMEO,7,297
B, ALFA_ROMEO,34,297
BZ, ALFA_ROMEO,6,297
CL, ALFA_ROMEO,2,297
CS, ALFA_ROMEO,2,297
CJ, ALFA_ROMEO,34,297
CT, ALFA_ROMEO,4,297
CV, ALFA_ROMEO,2,297
DB, ALFA_ROMEO,3,297
DJ, ALFA_ROMEO,12,297
GL, ALFA_ROMEO,11,297
GR, ALFA_ROMEO,0,297
GJ, ALFA_ROMEO,4,297
HR, ALFA_ROMEO,2,297
HD, ALFA_ROMEO,10,297
IL, ALFA_ROMEO,3,297
IS, ALFA_ROMEO,14,297
IF, ALFA_ROMEO,1,297
MM, ALFA_ROMEO,10,297
MH, ALFA_ROMEO,3,297
MS, ALFA_ROMEO,1,297
NT, ALFA_ROMEO,9,297
OT, ALFA_ROMEO,5,297
PH, ALFA_ROMEO,12,297
SJ, ALFA_ROMEO,6,297
SM, ALFA_ROMEO,5,297
SB, ALFA_ROMEO,6,297
SV, ALFA_ROMEO,13,297
TR, ALFA_ROMEO,2,297
TM, ALFA_ROMEO,9,297
TL, ALFA_ROMEO,3,297
VS, ALFA_ROMEO,3,297
VL, ALFA_ROMEO,8,297
VN, ALFA_ROMEO,5,297
AB, ALPINA,0,3
AR, ALPINA,0,3
AG, ALPINA,0,3
BC, ALPINA,0,3
BH, ALPINA,0,3
BN, ALPINA,0,3
BT, ALPINA,0,3
BR, ALPINA,0,3
BV, ALPINA,0,3
B, ALPINA,0,3
BZ, ALPINA,0,3
CL, ALPINA,0,3
CS, ALPINA,0,3
CJ, ALPINA,1,3
CT, ALPINA,0,3
CV, ALPINA,0,3
DB, ALPINA,0,3
DJ, ALPINA,0,3
GL, ALPINA,0,3
GR, ALPINA,0,3
GJ, ALPINA,1,3
HR, ALPINA,0,3
HD, ALPINA,0,3
IL, ALPINA,0,3
IS, ALPINA,0,3
IF, ALPINA,0,3
MM, ALPINA,0,3
MH, ALPINA,0,3
MS, ALPINA,0,3
NT, ALPINA,0,3
OT, ALPINA,0,3
PH, ALPINA,1,3
SJ, ALPINA,0,3
SM, ALPINA,0,3
SB, ALPINA,0,3
SV, ALPINA,0,3
TR, ALPINA,0,3
TM, ALPINA,0,3
TL, ALPINA,0,3
VS, ALPINA,0,3
VL, ALPINA,0,3
VN, ALPINA,0,3
AB, ARO,1,15
AR, ARO,0,15
AG, ARO,3,15
BC, ARO,0,15
BH, ARO,0,15
BN, ARO,0,15
BT, ARO,0,15
BR, ARO,0,15
BV, ARO,0,15
B, ARO,4,15
BZ, ARO,0,15
CL, ARO,0,15
CS, ARO,0,15
CJ, ARO,0,15
CT, ARO,0,15
CV, ARO,0,15
DB, ARO,0,15
DJ, ARO,0,15
GL, ARO,0,15
GR, ARO,0,15
GJ, ARO,0,15
HR, ARO,0,15
HD, ARO,0,15
IL, ARO,0,15
IS, ARO,0,15
IF, ARO,0,15
MM, ARO,0,15
MH, ARO,0,15
MS, ARO,0,15
NT, ARO,0,15
OT, ARO,1,15
PH, ARO,1,15
SJ, ARO,0,15
SM, ARO,0,15
SB, ARO,0,15
SV, ARO,1,15
TR, ARO,0,15
TM, ARO,0,15
TL, ARO,0,15
VS, ARO,0,15
VL, ARO,3,15
VN, ARO,0,15
AB, ASIA,0,1
AR, ASIA,0,1
AG, ASIA,0,1
BC, ASIA,0,1
BH, ASIA,0,1
BN, ASIA,0,1
BT, ASIA,0,1
BR, ASIA,0,1
BV, ASIA,0,1
B, ASIA,0,1
BZ, ASIA,0,1
CL, ASIA,0,1
CS, ASIA,0,1
CJ, ASIA,0,1
CT, ASIA,0,1
CV, ASIA,0,1
DB, ASIA,0,1
DJ, ASIA,0,1
GL, ASIA,0,1
GR, ASIA,0,1
GJ, ASIA,0,1
HR, ASIA,0,1
HD, ASIA,0,1
IL, ASIA,0,1
IS, ASIA,0,1
IF, ASIA,0,1
MM, ASIA,1,1
MH, ASIA,0,1
MS, ASIA,0,1
NT, ASIA,0,1
OT, ASIA,0,1
PH, ASIA,0,1
SJ, ASIA,0,1
SM, ASIA,0,1
SB, ASIA,0,1
SV, ASIA,0,1
TR, ASIA,0,1
TM, ASIA,0,1
TL, ASIA,0,1
VS, ASIA,0,1
VL, ASIA,0,1
VN, ASIA,0,1
AB, ASTON_MARTIN,0,1
AR, ASTON_MARTIN,0,1
AG, ASTON_MARTIN,0,1
BC, ASTON_MARTIN,0,1
BH, ASTON_MARTIN,0,1
BN, ASTON_MARTIN,0,1
BT, ASTON_MARTIN,0,1
BR, ASTON_MARTIN,0,1
BV, ASTON_MARTIN,0,1
B, ASTON_MARTIN,1,1
BZ, ASTON_MARTIN,0,1
CL, ASTON_MARTIN,0,1
CS, ASTON_MARTIN,0,1
CJ, ASTON_MARTIN,0,1
CT, ASTON_MARTIN,0,1
CV, ASTON_MARTIN,0,1
DB, ASTON_MARTIN,0,1
DJ, ASTON_MARTIN,0,1
GL, ASTON_MARTIN,0,1
GR, ASTON_MARTIN,0,1
GJ, ASTON_MARTIN,0,1
HR, ASTON_MARTIN,0,1
HD, ASTON_MARTIN,0,1
IL, ASTON_MARTIN,0,1
IS, ASTON_MARTIN,0,1
IF, ASTON_MARTIN,0,1
MM, ASTON_MARTIN,0,1
MH, ASTON_MARTIN,0,1
MS, ASTON_MARTIN,0,1
NT, ASTON_MARTIN,0,1
OT, ASTON_MARTIN,0,1
PH, ASTON_MARTIN,0,1
SJ, ASTON_MARTIN,0,1
SM, ASTON_MARTIN,0,1
SB, ASTON_MARTIN,0,1
SV, ASTON_MARTIN,0,1
TR, ASTON_MARTIN,0,1
TM, ASTON_MARTIN,0,1
TL, ASTON_MARTIN,0,1
VS, ASTON_MARTIN,0,1
VL, ASTON_MARTIN,0,1
VN, ASTON_MARTIN,0,1
AB, AUDI,161,6866
AR, AUDI,233,6866
AG, AUDI,177,6866
BC, AUDI,156,6866
BH, AUDI,276,6866
BN, AUDI,158,6866
BT, AUDI,167,6866
BR, AUDI,84,6866
BV, AUDI,199,6866
B, AUDI,687,6866
BZ, AUDI,93,6866
CL, AUDI,57,6866
CS, AUDI,111,6866
CJ, AUDI,240,6866
CT, AUDI,286,6866
CV, AUDI,57,6866
DB, AUDI,116,6866
DJ, AUDI,172,6866
GL, AUDI,182,6866
GR, AUDI,68,6866
GJ, AUDI,122,6866
HR, AUDI,68,6866
HD, AUDI,131,6866
IL, AUDI,67,6866
IS, AUDI,222,6866
IF, AUDI,140,6866
MM, AUDI,230,6866
MH, AUDI,98,6866
MS, AUDI,235,6866
NT, AUDI,163,6866
OT, AUDI,113,6866
PH, AUDI,191,6866
SJ, AUDI,169,6866
SM, AUDI,135,6866
SB, AUDI,169,6866
SV, AUDI,320,6866
TR, AUDI,66,6866
TM, AUDI,218,6866
TL, AUDI,49,6866
VS, AUDI,110,6866
VL, AUDI,139,6866
VN, AUDI,106,6866
AB, BENTLEY,0,11
AR, BENTLEY,0,11
AG, BENTLEY,0,11
BC, BENTLEY,0,11
BH, BENTLEY,0,11
BN, BENTLEY,0,11
BT, BENTLEY,0,11
BR, BENTLEY,0,11
BV, BENTLEY,1,11
B, BENTLEY,4,11
BZ, BENTLEY,0,11
CL, BENTLEY,0,11
CS, BENTLEY,0,11
CJ, BENTLEY,0,11
CT, BENTLEY,3,11
CV, BENTLEY,0,11
DB, BENTLEY,0,11
DJ, BENTLEY,0,11
GL, BENTLEY,0,11
GR, BENTLEY,0,11
GJ, BENTLEY,0,11
HR, BENTLEY,0,11
HD, BENTLEY,0,11
IL, BENTLEY,0,11
IS, BENTLEY,0,11
IF, BENTLEY,1,11
MM, BENTLEY,0,11
MH, BENTLEY,0,11
MS, BENTLEY,1,11
NT, BENTLEY,0,11
OT, BENTLEY,0,11
PH, BENTLEY,0,11
SJ, BENTLEY,0,11
SM, BENTLEY,0,11
SB, BENTLEY,0,11
SV, BENTLEY,0,11
TR, BENTLEY,0,11
TM, BENTLEY,1,11
TL, BENTLEY,0,11
VS, BENTLEY,0,11
VL, BENTLEY,0,11
VN, BENTLEY,0,11
AB, BMW,115,7611
AR, BMW,203,7611
AG, BMW,342,7611
BC, BMW,195,7611
BH, BMW,214,7611
BN, BMW,130,7611
BT, BMW,117,7611
BR, BMW,106,7611
BV, BMW,196,7611
B, BMW,1190,7611
BZ, BMW,103,7611
CL, BMW,70,7611
CS, BMW,85,7611
CJ, BMW,278,7611
CT, BMW,273,7611
CV, BMW,25,7611
DB, BMW,150,7611
DJ, BMW,341,7611
GL, BMW,156,7611
GR, BMW,108,7611
GJ, BMW,188,7611
HR, BMW,55,7611
HD, BMW,144,7611
IL, BMW,92,7611
IS, BMW,214,7611
IF, BMW,276,7611
MM, BMW,150,7611
MH, BMW,106,7611
MS, BMW,164,7611
NT, BMW,99,7611
OT, BMW,163,7611
PH, BMW,239,7611
SJ, BMW,168,7611
SM, BMW,106,7611
SB, BMW,169,7611
SV, BMW,196,7611
TR, BMW,98,7611
TM, BMW,262,7611
TL, BMW,49,7611
VS, BMW,96,7611
VL, BMW,160,7611
VN, BMW,82,7611
AB, CHEVROLET,4,435
AR, CHEVROLET,10,435
AG, CHEVROLET,15,435
BC, CHEVROLET,9,435
BH, CHEVROLET,10,435
BN, CHEVROLET,5,435
BT, CHEVROLET,4,435
BR, CHEVROLET,15,435
BV, CHEVROLET,17,435
B, CHEVROLET,60,435
BZ, CHEVROLET,8,435
CL, CHEVROLET,7,435
CS, CHEVROLET,4,435
CJ, CHEVROLET,10,435
CT, CHEVROLET,10,435
CV, CHEVROLET,6,435
DB, CHEVROLET,7,435
DJ, CHEVROLET,18,435
GL, CHEVROLET,12,435
GR, CHEVROLET,12,435
GJ, CHEVROLET,6,435
HR, CHEVROLET,3,435
HD, CHEVROLET,8,435
IL, CHEVROLET,3,435
IS, CHEVROLET,16,435
IF, CHEVROLET,23,435
MM, CHEVROLET,10,435
MH, CHEVROLET,6,435
MS, CHEVROLET,13,435
NT, CHEVROLET,9,435
OT, CHEVROLET,8,435
PH, CHEVROLET,14,435
SJ, CHEVROLET,12,435
SM, CHEVROLET,4,435
SB, CHEVROLET,12,435
SV, CHEVROLET,3,435
TR, CHEVROLET,2,435
TM, CHEVROLET,26,435
TL, CHEVROLET,6,435
VS, CHEVROLET,6,435
VL, CHEVROLET,6,435
VN, CHEVROLET,3,435
AB, CITROEN,14,933
AR, CITROEN,28,933
AG, CITROEN,34,933
BC, CITROEN,19,933
BH, CITROEN,27,933
BN, CITROEN,11,933
BT, CITROEN,8,933
BR, CITROEN,11,933
BV, CITROEN,37,933
B, CITROEN,152,933
BZ, CITROEN,17,933
CL, CITROEN,2,933
CS, CITROEN,9,933
CJ, CITROEN,36,933
CT, CITROEN,33,933
CV, CITROEN,6,933
DB, CITROEN,15,933
DJ, CITROEN,20,933
GL, CITROEN,19,933
GR, CITROEN,9,933
GJ, CITROEN,11,933
HR, CITROEN,9,933
HD, CITROEN,14,933
IL, CITROEN,10,933
IS, CITROEN,26,933
IF, CITROEN,30,933
MM, CITROEN,43,933
MH, CITROEN,11,933
MS, CITROEN,29,933
NT, CITROEN,23,933
OT, CITROEN,11,933
PH, CITROEN,36,933
SJ, CITROEN,12,933
SM, CITROEN,20,933
SB, CITROEN,13,933
SV, CITROEN,22,933
TR, CITROEN,13,933
TM, CITROEN,45,933
TL, CITROEN,7,933
VS, CITROEN,12,933
VL, CITROEN,13,933
VN, CITROEN,12,933
AB, DACIA,185,11080
AR, DACIA,153,11080
